,age,response_side,impaired_vision,experience,gender,session_id,inner_width,trial_no,filename,scene_id,red_count,blue_count,version,response_time,expected_side,browser,screen_w,screen_h,os,exp_start_date,exp_start_time,favorite_team,favorite_color,subject_id,is_correct
56,23,blue,no,never,female,1697797568418,1512,56,id21_v2_b7_r6.jpg,21,6,7,2,910,blue,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,1.0
57,23,blue,no,never,female,1697797568418,1512,57,id14_v1_b7_r6.jpg,14,6,7,1,737,blue,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,1.0
58,23,red,no,never,female,1697797568418,1512,58,id30_v1_b7_r6.jpg,30,6,7,1,934,blue,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,0.0
59,23,blue,no,never,female,1697797568418,1512,59,id2_v1_b6_r5.jpg,2,5,6,1,627,blue,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,1.0
60,38,blue,no,more,male,1697622184937,2419,0,id17_v1_b6_r5.jpg,17,5,6,1,1085,blue,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,1.0
61,38,blue,no,more,male,1697622184937,2419,1,id10_v2_b7_r6.jpg,10,6,7,2,389,blue,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,1.0
62,38,red,no,more,male,1697622184937,2419,2,id12_v1_b7_r6.jpg,12,6,7,1,576,blue,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,0.0
63,38,red,no,more,male,1697622184937,2419,3,id20_v1_b7_r6.jpg,20,6,7,1,428,blue,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,0.0
64,38,blue,no,more,male,1697622184937,2419,4,id5_v2_b7_r6.jpg,5,6,7,2,744,blue,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,1.0
65,38,red,no,more,male,1697622184937,2419,5,id22_v1_b6_r7.jpg,22,7,6,1,429,red,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,1.0
66,38,red,no,more,male,1697622184937,2419,6,id8_v2_b5_r6.jpg,8,6,5,2,495,red,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,1.0
67,38,blue,no,more,male,1697622184937,2419,7,id7_v2_b7_r6.jpg,7,6,7,2,703,blue,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,1.0
68,38,red,no,more,male,1697622184937,2419,8,id1_v2_b5_r7.jpg,1,7,5,2,518,red,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,1.0
69,38,red,no,more,male,1697622184937,2419,9,id15_v2_b8_r6.jpg,15,6,8,2,1664,blue,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,0.0
70,38,blue,no,more,male,1697622184937,2419,10,id24_v2_b6_r7.jpg,24,7,6,2,914,red,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,0.0
71,38,blue,no,more,male,1697622184937,2419,11,id26_v1_b7_r6.jpg,26,6,7,1,712,blue,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,1.0
72,38,red,no,more,male,1697622184937,2419,12,id27_v2_b6_r7.jpg,27,7,6,2,376,red,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,1.0
73,38,red,no,more,male,1697622184937,2419,13,id16_v2_b7_r6.jpg,16,6,7,2,542,blue,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,0.0
74,38,blue,no,more,male,1697622184937,2419,14,id28_v2_b7_r6.jpg,28,6,7,2,643,blue,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,1.0
75,38,blue,no,more,male,1697622184937,2419,15,id6_v1_b7_r5.jpg,6,5,7,1,452,blue,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,1.0
76,38,blue,no,more,male,1697622184937,2419,16,id23_v1_b5_r6.jpg,23,6,5,1,1031,red,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,0.0
